Created-At;From-User;From-User-Id;To-User;To-User-Id;Language;Source;Text;Geo-Location-Latitude;Geo-Location-Longitude;Retweet-Count;Id
19/08/2022 07:53;THE BOYZ (????);9,46E+17;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;[?] thank u music bank ? https://t.co/VCzYXXwZX5;;;7288;1,56E+18
19/08/2022 10:33;George Conway?;471677441;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;By putting the bags of money in a crawl space, the bank robber was just trying to preserve the currency by putting it in a safe place. https://t.co/LNG3P0sMQR;;;2425;1,56E+18
20/08/2022 04:15;Brigitte Gabriel;7,23E+17;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"Stop sending American tax dollars to Ukraine.

If Ukraine is important to you, donate to a charity that helps, the US federal government is not the world's piggy bank!";;;939;1,56E+18
20/08/2022 21:52;?sewar._.;1,30E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;Israeli forces raid offices of Palestinian civil society groups in West Bank https://t.co/Eq8qsyJ7kA;;;0;1,56E+18
20/08/2022 21:52;Pir Nayab;1,37E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;RT @OnlinePalEng: Nine European countries, including France and Germany, said they were 'deeply concerned' after Israeli forces raided and…;;;30;1,56E+18
20/08/2022 21:52;WOMEN ON THE RIGHT;1,46E+18;;-1;en;<a href='http://twitter.com/#!/download/ipad' rel='nofollow'>Twitter for iPad</a>;RT @EpochTimes: #Minneapolis Federal Reserve Bank President Neel Kashkari said the @FederalReserve needs to get “very very” high #Inflation…;;;10;1,56E+18
20/08/2022 21:52;?? ?????;7,91E+17;SSSS_BanK;1,33E+18;ko;<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>;@SSSS_BanK ?? ??? ????????~;;;0;1,56E+18
20/08/2022 21:52;yourfirstcrush?;1,16E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @NeneWhale: JUST IN: @Ripple Launches $XRP-enabled Enterprise Payments in Brazil with Travelex Bank, counting with the approval of Brazi…;;;409;1,56E+18
20/08/2022 21:52;blenda ?: the kiss of decepction;7,82E+17;;-1;pt;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @GirlgroupsBR: ELAS SÃO UMA HISTÓRIA! Após a 2° performance do GIRLS' GENERATION, 'FOREVER 1 Music Bank' esteve em #4 nos trends de pesq…;;;43;1,56E+18
20/08/2022 21:52;?open;1,56E+18;;-1;vi;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"??????? / ?????/ Melody 
50 © ? 18 ???
85 © ? 32 ???
100 © ? 36 ???
150 © ? 54 ???

? ???? : DM / https://t.co/Y8oQZQ6sC4
? Bank / Wallet

#????????????? #??????? #????????????????????? #?????????? #?????????????????? #?????????????? https://t.co/M2v5gCQlWZ";;;0;1,56E+18
