Created-At;From-User;From-User-Id;To-User;To-User-Id;Language;Source;Text;Geo-Location-Latitude;Geo-Location-Longitude;Retweet-Count;Id
19/08/2022 23:40;Lucas Nahuel Velasco;526544988;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"I have 3 #ETH to invest! 
What’s is the next #gem x100?

#ELON #btc #BSC #Ethereum #BabyDoge #BNB  #LovelyINU #lovelyfinance #Lovely #NFTs #BabyDoge #Sol #Avax #Bsc #Bitcoin #Solana #USDtether #cryptocurrency #altcoins #NFTCommunity 
#shillme #Crypto #HODL #Cryptocrash  #binance";;;2955;1,56E+18
19/08/2022 16:26;ALFREDO BARULLI;214536193;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"Congratulations on the feature?

? Get accentuated close by top frontiersperson & projects in Crypto/NFT

? Get thousands of visitors to know about you & improve your Google presence

? Utilize 'As seen on' to expand your crypto/NFT brand permeability

https://t.co/svDPafqM9d https://t.co/sskqzj3pBs";;;2135;1,56E+18
20/08/2022 21:30;Gamdom.com;7,75E+17;;-1;en;<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>;"? $500 #Giveaway ?

We'll select 5 winners randomly and award $100 to each account! ??

Rules: ?

1?? Tag 2 friends
2?? Must Like, Follow & Retweet 

Good luck ?

#BTC #Crypto #Contest #Casino #prize #Competition #ETH #NFT

? https://t.co/iOPgBrB7rr https://t.co/sobuxJaIqE";;;1758;1,56E+18
20/08/2022 23:36;mmtsnl;1453264332;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"RT @MrShinyBird: Have some stuff to do guys ??

Quick #Giveaway 

 3$ 

• RT & FOLLOW ME @MrShinyBird (?)

Ends in around 1 hour 

#Crypto…";;;157;1,56E+18
20/08/2022 23:36;Chux;1,52E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"RT @yemisi9898: this break is worth every bit of it, glad I took it; might even extend.
Been into crypto for over 3yrs and NFTs for exactly…";;;19;1,56E+18
20/08/2022 23:36;??mulliman.sol / $OOO/;1,46E+18;SolCityRadio;1,51E+18;und;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@SolCityRadio https://t.co/an9rB3YC2V!!;;;0;1,56E+18
20/08/2022 23:36;huntcrusher_NFT;1,52E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"New collection uploaded on Opensea
Name : Oddities Duplicator
Floor price : 0.002 ETH 
https://t.co/oXUG5hcL40
Just Buy this or i'm going to call your mom.
@opensea #NFTCommunity #NFT #NFTs
#nftart #nftcollectors #nftcollector
#tezos #AI #nftartist #crypto #openseaart https://t.co/cfvYppuiQD";;;0;1,56E+18
20/08/2022 23:36;latifah tham hien;1,45E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"RT @Airdrop_Father: ?? Meta Nebulas #Airdrop
? Value: 1000 Solarix (2500 slot) + 1 lucky draw: Daily hour ( 3 slots)
? Referral: 20 IONZ (t…";;;6271;1,56E+18
20/08/2022 23:36;Ðoge Bot?;1,44E+18;;-1;en;<a href='https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels' rel='nofollow'>IAmDogeBot</a>;Current #DOGE Price is $0.0696357 #Dogecoin #Crypto #ToTheMoon?;;;0;1,56E+18
20/08/2022 23:36;chevronkey;1,00E+18;crypto_TomTom;1,34E+18;und;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"@crypto_TomTom @giba_machado @EricCryptoman @cryptoskullx @Thorshammergems @shitc0in @chirocrypto @palletjacker69 @crypto_bitlord7 @iSmeshCrypto @OfficialTravlad @frombroke2bags @papa_woody21 @Bullrun_Gravano @chadcaff @cryptoavon @CryptoMach @dora_shitcoins 
@JammaPelson1 https://t.co/usYZ2vHYL1";;;0;1,56E+18
